S.No,State,Active,Recovered,Deaths,Confirmed,atitude,Longitude
1,Andaman and Nicobar Islands,5,33,0,38,11.7401,92.6586
2,Andhra Pradesh,2765,3314,84,6163,15.9129,79.74
3,Arunachal Pradesh,84,7,0,91,28.218,94.7278
4,Assam,2081,1960,8,4049,26.2006,92.9376
5,Bihar,2261,4170,39,6470,25.0961,85.3131
6,Chandigarh,54,293,5,352,30.7333,76.7794
7,Chhattisgarh,891,763,8,1662,21.2787,81.8661
8,Dadra and Nagar Haveli and Daman and Diu,34,2,0,36,20.1809,73.0169
9,Delhi,24032,15823,1327,41182,28.7041,77.1025
10,Goa,490,74,0,564,15.2993,74.124
11,Gujarat,5742,16325,1477,23544,22.2587,71.1924
12,Haryana,4117,3003,88,7208,29.0588,76.0856
13,Himachal Pradesh,174,337,7,518,31.1048,77.1734
14,Jammu and Kashmir,2593,2389,59,5041,33.7782,76.5762
15,Jharkhand,832,905,8,1745,23.6102,85.2799
16,Karnataka,2959,3955,86,7000,15.3173,75.7139
17,Kerala,1340,1102,19,2461,10.8505,76.2711
18,Ladakh,468,80,1,549,34.1526,77.577
19,Madhya Pradesh,2666,7677,459,10802,22.9734,78.6569
20,Maharashtra,53030,50978,3950,107958,19.7515,75.7139
21,Manipur,367,91,0,458,24.6637,93.9063
22,Meghalaya,18,25,1,44,25.467,91.3662
23,Mizoram,111,1,0,112,23.1645,92.9376
24,Nagaland,80,88,0,168,26.1584,94.5624
25,Odisha,1190,2708,11,3909,20.9517,85.0985
26,Puducherry,98,91,5,194,11.9416,79.8083
27,Punjab,717,2356,67,3140,31.1471,75.3412
28,Rajasthan,2836,9566,292,12694,27.0238,74.2179
29,Sikkim,64,4,0,68,27.533,88.5122
30,Tamil Nadu,19679,24547,435,44661,11.1271,78.6569
31,Telangana,2412,2377,185,4974,18.1124,79.0193
32,Tripura,760,315,1,1076,23.9408,91.9882
33,Uttarakhand,684,1111,24,1819,30.0668,79.0193
34,Uttar Pradesh,4948,8268,399,13615,26.8467,80.9462
35,West Bengal,5552,5060,475,1108,22.9868,87.855
